"HolderAddress","Balance","PendingBalanceUpdate"
"0x92d43467f5d28b4640f7a85190a6e4b22baee02d","12997.02","No"
"0x940576a6338cc1c14f5876edb4d9d5370fb22e53","10373.44","No"
"0x94fbe515cd90f88380e1be2b98d7e5176507db4e","10000","No"
"0x964443354262d8cb7b73a6512d840f219df9bfcd","67541.69","No"
"0x994956e8c7d3d65b7ce323c8094b964a1bac95de","60423.44","No"
"0x99f5967a86d7c7e5d6fd8c21ebb8dc7ecef427b3","276.17","No"
"0x9b207d397ecdb164fcbab336d7d0cab8850a3461","138.08","No"
"0x9b68caff9ed84b27e1c0165e47be7683620c503b","138.08","No"
"0x9b7ec5d797210cdcd2716bd873a6965ca2133bef","1124","No"
"0x9bd3856ed56e9f58df4247e3d0c948cb59440601","10373.44","No"
"0x9c29d44a74f298633bdec4fdb86a49cbe5f91b1c","9389.67","No"
"0x9c43da587695f87cbd3661a6718dcb8d00f1fea1","22000.61","No"
"0x9c65bbfb8637a4007635cdb056aa0e20392c26d2","27178.18","No"
"0x9c83a3264711eadc281e42d03284b900a3ca979d","276.17","No"
"0x9cad8520b2722b2b904e4e5725b338ae3016feba","10649.61","No"
"0x9cc3b369dbab103309fe98173775ea3f152c985b","138.08","No"
"0x9dd12e8a18fe70a889c7d27ac49623c2942c5b00","19072.69","No"
"0x9e1e2bc60e0fdc756704d18346d511bba7543e9a","92523","No"
"0x9e26e77e3c494628467615b9ef5fc8f3c095cf89","138.08","No"
"0x9e2bb4361556cea838cd98e751ff9c98101c0650","10373.44","No"
"0x9ec2bb4c3a1f9e929601b252a96376e54d024211","966.58","No"
"0x9f0a2a241f4804fbf36c19351e996fea8559728c","276.17","No"
"0x9f13f19545a399f66a44198b186f680f20891468","10373.44","No"
"0x9fe15c2783529777253c8a7c62eae3687ff9688c","10000","No"
"0xa00b7aa78acb4e79433787aeef095382bd5aa68e","10373.44","No"
"0xa0b92836633d0fbaedea6b71264bd0d71babbb53","22967.03","No"
"0xa1463eb684e6818ae21c9197df1ebe9146bd6937","11340.02","No"
"0xa20afcea2e755ed1dd7fe4bf47b27df074bf47d8","10373.44","No"
